"s","p","o"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761f3a0","http://ufs.br/ontologies/mpl2kdl#_value","1024"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761eef0","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f215761c820"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761fa30","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Call"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761ed10","http://ufs.br/ontologies/mpl2kdl#_targets","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ece0"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761ef50","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761eef0"
"http://ufs.br/ontologies/mpl2kdl#Compare0x7f215761f040","http://ufs.br/ontologies/mpl2kdl#_comparators","http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761efe0"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f215761faf0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#FunctionDef"
"http://ufs.br/ontologies/mpl2kdl#Tuple0x7f215761f7f0","http://ufs.br/ontologies/mpl2kdl#_elts","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f790"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761f580","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Assign"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761f3a0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Constant"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761f580","http://ufs.br/ontologies/mpl2kdl#_targets","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f550"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fdc0","http://ufs.br/ontologies/mpl2kdl#_name","osdebug"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ec80","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f215761c820"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fb20","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#alias"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ee60","http://ufs.br/ontologies/mpl2kdl#_id","locker_off"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f460","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Store0x7f215761c880"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761f280","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f100"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ef20","http://ufs.br/ontologies/mpl2kdl#_id","open_locker"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f790","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Store0x7f215761c880"
"http://ufs.br/ontologies/mpl2kdl#Eq0x7f215761d150","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Eq"
"http://ufs.br/ontologies/mpl2kdl#Expr0x7f215761ebc0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Expr"
