"s","p","o"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f30281354b0","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Assign0x7f30281352a0"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f3028135330","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Constant"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137d90","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028136830","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f3028137400","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Call0x7f30281373a0"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028135ab0","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Expr0x7f3028135600"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137700","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f3028118820"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f3028136d70","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#Name0x7f3028136d10"
"http://ufs.br/ontologies/mpl2kdl#Tuple0x7f3028134e80","http://ufs.br/ontologies/mpl2kdl#_elts","http://ufs.br/ontologies/mpl2kdl#Name0x7f3028134e20"
"http://ufs.br/ontologies/mpl2kdl#arguments0x7f3028135a80","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#arg0x7f3028135a20"
"http://ufs.br/ontologies/mpl2kdl#arg0x7f30281353c0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#arg"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028134a00","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f3028118820"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f30281346a0","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Expr0x7f30281345b0"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f3028137c70","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Call0x7f3028137c10"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028137f10","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#FunctionDef"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137700","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f30281377f0","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#Constant0x7f3028137790"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f3028137880","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Constant"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028134760","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Store0x7f3028118880"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028137670","http://ufs.br/ontologies/mpl2kdl#_id","station"
"http://ufs.br/ontologies/mpl2kdl#arg0x7f30281367a0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#arg"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f3028137790","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Constant"
"http://ufs.br/ontologies/mpl2kdl#Module0x7f3028137fd0","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f30281346a0"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f30281365c0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Assign"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f3028136a10","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#Name0x7f30281369b0"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f3028134e50","http://ufs.br/ontologies/mpl2kdl#_id","locker_state"
"http://ufs.br/ontologies/mpl2kdl#FunctionDef0x7f3028134be0","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Return0x7f3028134a30"
